file,emotion,text,speaker
Ses01M_script03_1_M022,hap,ahh...who knows.,Ses01M
Ses01M_script03_1_M028,hap,"let's pity the poor philosophers, huh? let's enjoy the party for as long as we can, okay? let's blow trumpets and squeakers and sit like small idiotic school children. [laughter]",Ses01M
Ses01M_script03_1_M029,hap,"come here darling, kiss me",Ses01M
Ses01M_script03_1_M030,hap,before your body rots and worms pop out of your eye sockets.,Ses01M
Ses01M_script03_1_M031,hap,"see, you know i don't care what you do. you could paint yourself green and run naked to the place vendome.",Ses01M
Ses01M_script03_1_M033,hap,do you remember that row we did have in venice?,Ses01M
Ses01M_script03_1_M037,hap,but you know it wasn't as bad as the one we had in cannes...mmhmm...where your curling irons burnt a hole in my dressing gown.,Ses01M
Ses01M_script03_1_M039,hap,i will never forget the look on his face.,Ses01M
Ses01M_script03_1_M040,hap,oh...,Ses01M
Ses01M_script03_1_M041,hap,we were very much younger then.,Ses01M
Ses01M_script03_2_F006,neu,"well, what of it?",Ses01F
Ses01M_script03_2_F010,neu,"no, thank you.",Ses01F
Ses01M_script03_2_F011,ang,i don't see why you want any you already had two glasses.,Ses01F
Ses01M_script03_2_F015,ang,"don't be stupid, what?",Ses01F
Ses01M_script03_2_F017,ang,well it's a woman's duty to allure the man. watch me a minute will you?,Ses01F
Ses01M_script03_2_F022,ang,they sting.,Ses01F
Ses01M_script03_2_F023,ang,"i don't care. i don't care, do you understand? i don't mind if they bark and they roll about like hoops.",Ses01F
Ses01M_script03_2_F024,ang,"yes, i did quite a lot.",Ses01F
Ses01M_script03_2_F025,ang,"oh, mind you own business.",Ses01F
Ses01M_script03_2_F026,ang,"you're quite insufferable, i expect it's because you're drunk.",Ses01F
Ses01M_script03_2_F027,ang,you always had a weak head.,Ses01F
Ses01M_script03_2_F028,ang,"on the contrary, a child two could get violently drunk on only one glass of brandy.",Ses01F
Ses01M_script03_2_F029,ang,shut up.,Ses01F
Ses01M_script03_2_F030,ang,not very funny darling. why don't you have some more brandy?,Ses01F
Ses01M_script03_2_F031,ang,why?,Ses01F
Ses01M_script03_2_F033,ang,they are away in tunis.,Ses01F
Ses01M_script03_2_F034,ang,"turn it on again, please.",Ses01F
Ses01M_script03_2_F035,ang,very well if you insist on being boorish and idiotic.,Ses01F
Ses01M_script03_2_F036,ang,i won't.,Ses01F
Ses01M_script03_2_F037,ang,stop it. no. go away.,Ses01F
Ses01M_script03_2_F038,ang,"listen oh i'm sick and tired of listening to you, you damn sadistic bully.",Ses01F
Ses01M_script03_2_F039,ang,"oh you're cruel you're...you're...i hate you, i hate you. go away. you're conceited. you're overbearing. you're utterly impossible.",Ses01F
Ses01M_script03_2_F040,ang,this is the end do you hear me? finally and forever.,Ses01F
Ses01M_script03_2_F041,ang,"oh yes i am...oh yes i am. let go of me. you let go. you...urgh...you're a cruel friend. i loathe and i hate you. marry you again...ha...never, never, never, never. i hope you die in torment. you beast.",Ses01F
Ses01M_script03_2_M012,neu,"i'll have a little, i think.",Ses01M
Ses01M_script03_2_M013,neu,"oh, you know no particular reason besides they are very small glasses.",Ses01M
Ses01M_script03_2_M018,neu,are you going out somewhere dear?,Ses01M
Ses01M_script03_2_M022,ang,"you know, it's a pity you didn't have any more brandy. it would have made you just a little less disagreeable.",Ses01M
Ses01M_script03_2_M023,ang,"you know what? you snap, you snap, you snap you're like a little adder.",Ses01M
Ses01M_script03_2_M024,ang,nonsense. they have a bag of venom behind of fangs and they snap.,Ses01M
Ses01M_script03_2_M025,ang,did you see much of peter burden after our divorce?,Ses01M
Ses01M_script03_2_M026,ang,i suppose you let him just kiss you or good deal more than too.,Ses01M
Ses01M_script03_2_M027,ang,"i suppose you two had a riotous time, huh? no restrain at all, very enjoyable, he never had much any how.",Ses01M
Ses01M_script03_2_M028,ang,i am not in the least bit drunk.,Ses01M
Ses01M_script03_2_M029,ang,i think i told you once before that i had three minute liquor glasses the whole evening long. a child of two cannot get drunk on that.,Ses01M
Ses01M_script03_2_M030,ang,"oh very, very interesting amanda. how about the child of uh... four, six or maybe nine---you know, we could work up a splendid little debate about it, you know? intemperate tots.",Ses01M
Ses01M_script03_2_M031,ang,that's a very good idea i think i will.,Ses01M
Ses01M_script03_2_M032,ang,would you uh...turn that off please? you're going to wake the people upstairs.,Ses01M
Ses01M_script03_2_M033,ang,well then you'll wake the people downstairs.,Ses01M
Ses01M_script03_2_M034,ang,this is no time a year for tunis.,Ses01M
Ses01M_script03_2_M035,ang,i will do no such thing.,Ses01M
Ses01M_script03_2_M036,ang,turn it off. it's driving me mad.,Ses01M
Ses01M_script03_2_M037,ang,turn it off.,Ses01M
Ses01M_script03_2_M038,ang,amanda listen. listen.,Ses01M
Ses01M_script03_2_M039,ang,that's very amusing indeed.,Ses01M
Ses01M_script03_2_M040,ang,"you...you're an evil minded, self-centered little wench and i never want to see you again.",Ses01M
Ses01M_script03_2_M041,ang,you're not going like this.,Ses01M
Ses01M_script03_2_M042,ang,no you're not.,Ses01M
Ses01M_script03_2_M043,ang,shut up. shut up. i wouldn't marry you again if you came crawling back to me on a bended knee. you are an evil tempered little vampire and i never want to see you again as long as i live.,Ses01M
Ses02F_impro01_F000,neu,"hi. excuse me. um, i'd like to put in this application for my registration.",Ses02F
Ses02F_impro01_F018,ang,"well, why didn't the d.m.v. put that you needed your birth certificate on the application then?",Ses02F
Ses02F_impro01_F019,ang,"yeah, but your birth certificate--i mean, who carries around their birth certificate? nobody does that.",Ses02F
Ses02F_impro01_F020,ang,with your driver's license and your passport. just like everybody else.,Ses02F
Ses02F_impro01_F021,ang,"who--you always use your driver's license. i mean, you're not coming to the d.m.v. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway.",Ses02F
Ses02F_impro01_M000,neu,hi.,Ses02M
Ses02F_impro01_M001,neu,"okay. let me see here. um, we need--we need your original birth certificate.",Ses02M
Ses02F_impro01_M002,neu,right. well. we still need it.,Ses02M
Ses02F_impro01_M004,neu,um sorry.,Ses02M
Ses02F_impro01_M017,ang,"ok, but you're right now you're holding up more people in line by standing here-- and letting",Ses02M
Ses02F_impro01_M019,ang,"you know, official documentation--",Ses02M
Ses02F_impro02_F000,sad,it's almost time for me to go.,Ses02F
Ses02F_impro02_F001,sad,"there's nothing i can do. i mean, the government you know--",Ses02F
Ses02F_impro02_F002,sad,"you're gonna have to. i mean, you're a great father. you can do it. i know you can.",Ses02F
Ses02F_impro02_F003,sad,i don't think so.,Ses02F
Ses02F_impro02_F004,sad,"well, we can do the best we can and-and, with um, you know like wireless internet these days--i think that we could-- talk every once in awhile.",Ses02F
Ses02F_impro02_F005,sad,you could send me pictures.,Ses02F
Ses02F_impro02_F006,sad,"their not gonna let you. you have to stay home and i have to go. i mean, that's all--",Ses02F
Ses02F_impro02_F007,sad,"and--i mean, my daughter--i don't want to put her in danger. you know? she has to stay.",Ses02F
Ses02F_impro02_F008,sad,"i know, but, she needs to be safe more. she needs to be around kids her age--own age. she needs to be able to play on the streets and--",Ses02F
Ses02F_impro02_F009,sad,you can just remember it for me.,Ses02F
Ses02F_impro02_F010,sad,"well, i need--i need you to be able to do this for me 'cause i can't do anything about it.",Ses02F
Ses02F_impro02_F011,sad,"i mean, it's just as hard for me, but--i know that we can do it, you know",Ses02F
Ses02F_impro02_F012,sad,i don't want you in danger. and i don't want her in danger.,Ses02F
Ses02F_impro02_F013,sad,i have no choice. there's nothing i can do.,Ses02F
Ses02F_impro02_M007,sad,but she's--you're not gonna--you're not gonna be here for--for her first words. for her first steps. i mean--it's something that you're supposed to be here for that--,Ses02M
Ses02F_impro02_M012,sad,all right.,Ses02M
Ses02F_impro03_F000,hap,"oh my god. guess what, guess what, guess what, guess what, guess what, guess what?",Ses02F
Ses02F_impro03_F001,hap,"well, guess. guess, guess, guess, guess.",Ses02F
Ses02F_impro03_F004,hap,i'm so excited.,Ses02F
Ses02F_impro03_F009,hap,"like all they have and i was like, what's going on? and he like takes my hand and pulls me into the middle and he's like--you know, get's on his knee and everything--and says will you marry me? and i flipped out.",Ses02F
Ses02F_impro03_F011,hap,'cause- 'cause he was with me. you didn't do it did you?,Ses02F
Ses02F_impro03_F012,hap,you didn't know anything?,Ses02F
Ses02F_impro03_F013,hap,"i was just--it was so like i thought this might happen eventually, but like not yet, you know what i mean? like--",Ses02F
Ses02F_impro03_F014,hap,"it is good. it's totally good. i mean, it like oh, you know.",Ses02F
Ses02F_impro03_F015,hap,i know. so we're gonna take it--like we're not gonna get married right away--'cause we want to like have plenty of time to plan everything out,Ses02F
Ses02F_impro03_F016,hap,"...and, um, my parents want to like be part of it and help out and everything--so we want to give it lots of time to like--",Ses02F
Ses02F_impro03_F017,hap,"yeah, yeah, i called them. i called them and, of course, they were so excited 'cause they love him. like they always have. um--",Ses02F
Ses02F_impro03_F018,hap,"so, yeah, i mean, it'll be good. we wanna like, uh, i think we're gonna have it in spring time, like early spring--so it's no too hot yet. and um--",Ses02F
Ses02F_impro03_F019,hap,"i don't know. i mean, i kinda like the idea of having something outside, but--like--is a- yeah,",Ses02F
Ses02F_impro03_F021,hap,"yeah, i don't know-[laughter]-i mean--i can't even--the whole idea of like living--spending my whole life with somebody--that's crazy",Ses02F
Ses02F_impro03_F023,hap,thank you. thank you so much.,Ses02F
Ses02F_impro03_F024,hap,"oh, you will--you'll find just the right girl. and she'll be perfect for you and everything will be great.",Ses02F
Ses02F_impro03_F026,hap,"yeah, it's pretty good.",Ses02F
Ses02F_impro03_F027,hap,"of course, of course--you'll be able to be a part of it. you can come help me pick my colors.",Ses02F
Ses02F_impro03_F028,hap,"it's so girly. i don't even know how to like--it's so weird, but it'll be fun. my mom will love to be like--she'll get so into it, i'm sure.",Ses02F
Ses02F_impro03_F029,hap,she'll be like--flowers and the--,Ses02F
Ses02F_impro03_F030,hap,"oh, thank you. [laughter]",Ses02F
Ses02F_impro03_M001,neu,"um, you--",Ses02M
Ses02F_impro03_M004,hap,that is great. you look radiant. i should've guess.,Ses02M
Ses02F_impro03_M005,hap,"well, tell me about him. what happened.",Ses02M
Ses02F_impro03_M009,hap,"yeah. i mean candles wouldn't stay--no, i didn't--i didn't know anything about it.",Ses02M
Ses02F_impro03_M010,hap,no. i'm just as happy as you are. this is--,Ses02M
Ses02F_impro03_M011,hap,"so, i mean--it's good though.",Ses02M
Ses02F_impro03_M012,hap,"yeah, i know. wow. i'm shaking. i can't even--",Ses02M
Ses02F_impro03_M013,neu,"oh. do they--do they know yet? have you told them? oh, that's--",Ses02M
Ses02F_impro03_M014,neu,that's great. yeah.,Ses02M
Ses02F_impro03_M015,neu,okay. you know--you know where? or--,Ses02M
Ses02F_impro03_M016,neu,"uh, huh. i mean, you know, it's spring--it'll be--",Ses02M
Ses02F_impro03_M017,neu,spring's nice though.,Ses02M
Ses02F_impro03_M018,neu,"yeah, that is--how long you guys been together now?",Ses02M
Ses02F_impro03_M019,hap,okay. all right. so-[laughter]-quite a while. i mean--that's- that's good. i'm so happy for you. [laughter],Ses02M
Ses02F_impro03_M020,hap,"yeah, i'd love to be in that same situation some day, but, wow- so-",Ses02M
Ses02F_impro03_M022,hap,"oh, i approve. i-[laughter]-i more than approve.",Ses02M
Ses02F_impro03_M023,hap,"i mean, i'm surprised he didn't, ya know--go get a plane to fly over and shine--but candles on the beach, that's okay too i guess--",Ses02M
Ses02F_impro03_M024,hap,"well--can--i mean, let me know--i want- i want invitations and--",Ses02M
Ses02F_impro03_M025,hap,"oh, yes. this is the whole [garbage]",Ses02M
Ses02F_impro03_M026,hap,"it'll be good. wow, that's great.",Ses02M
Ses02F_impro04_F009,sad,i feel so worthless.,Ses02F
Ses02F_impro04_F016,sad,"i just wanna crawl in a hole, you know. like it just makes you not wanna even open your eyes in the morning.",Ses02F
Ses02F_impro04_M000,neu,"so, uh, so how's it been going? i mean, you have any needs or anything?",Ses02M
Ses02F_impro04_M001,neu,"no. you can't think that way. i mean it's good--it's good that you're--that you're calling, you know. you can't",Ses02M
Ses02F_impro04_M003,neu,"no, come on. don't [garbage]",Ses02M
Ses02F_impro04_M004,neu,"i know. i know. it's hard, but you just--you gotta keep going. i mean, you've been going at it for so long, you know. something is definitely going to come up. i-i know it will, because you're a good worker--",Ses02M
Ses02F_impro04_M005,neu,"no. it's--i mean, it's competitive, you know. that's-that's what it is. that's what you gotta be is competitive.",Ses02M
Ses02F_impro04_M006,neu,"there...there are plenty of people out there with--with like, good jobs, you know, that are a lot...",Ses02M
Ses02F_impro04_M007,neu,...dumber than you. i mean they're a lot worse off than you. you are much better off than like a lot of those people in there. i know,Ses02M
Ses02F_impro04_M008,neu,"i know. it makes it harder. i mean it's definitely who you know in a lot of cases, but--",Ses02M
Ses02F_impro04_M009,neu,"but you gotta. otherwise, what is--what's your other option?",Ses02M
Ses02F_impro04_M010,neu,"it's not worthless 'cause it's definitely gonna--it's definitely gonna pay off. i know it. i mean, i can--i've just--i've seen your work etiquette. you know, you're a good worker and...",Ses02M
Ses02F_impro04_M011,neu,... and there's no reason that--that something won't come up like really soon. all right? so you just gotta--,Ses02M
Ses02F_impro04_M012,neu,"because i know you. you know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago. you know? but and- and they'll finally come around and believe me--it'll--you gotta-",Ses02M
Ses02F_impro04_M013,neu,"well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know",Ses02M
Ses02F_impro04_M015,neu,"that obviously that's not true though. i mean, you've done this before. you've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--",Ses02M
Ses02F_impro04_M016,neu,right.,Ses02M
Ses02F_impro04_M017,neu,"well, you've gotta live.",Ses02M
Ses02F_impro04_M018,neu,"i mean, it's just, it's really--i don't know, yeah, it's about their opinions and it's about, i don't know, just getting yourself out there and--",Ses02M
Ses02F_impro04_M019,neu,"well, come on, come on. thinking about it like this is definitely not gonna help either though.",Ses02M
Ses02F_impro05_F000,neu,"hi, um, excuse me, i believe that the airline lost my baggage.",Ses02F
Ses02F_impro05_F001,neu,"no, it didn't. um it didn't come out and i don't see it anywhere around here, so what can you do about that?",Ses02F
Ses02F_impro05_F004,neu,how much?,Ses02F
Ses02F_impro05_F006,ang,"that's all, that's all, that's all you're going to do is just give me fifty dollars and say go have fun on your vacation without any of your stuff?",Ses02F
Ses02F_impro05_F010,ang,"because you don't seem to care very much, you know.",Ses02F
Ses02F_impro05_F019,ang,it sounds like it's such a little like oh well no big deal whatever. it's a big deal to me.,Ses02F
Ses02F_impro05_M000,neu,"um, okay, it didn't--didn't come out on the carrousel--",Ses02M
Ses02F_impro05_M001,neu,"okay. um, well, unfortunately yeah there was a some- some problems with the--",Ses02M
Ses02F_impro05_M002,neu,"uh, well some-some of the bags were--were lost on the way over here. uh-",Ses02M
Ses02F_impro05_M003,neu,"you know, i mean, there's a lot of things that go on under the plane and sometimes, you know, that kind of things happen.",Ses02M
Ses02F_impro05_M004,neu,"uh, but, we are willing to reimburse you for the bag and and for the contents--",Ses02M
Ses02F_impro05_M005,neu,"um, we'd be willing to give you uh fifty dollars for--",Ses02M
Ses02F_impro05_M006,neu,"right. uh we realize, you know, that that it's a bad situation, but i'm sorry, there's nothing that we can really do.",Ses02M
Ses02F_impro05_M007,neu,"i think, um, maybe you can file a claim if you want and turn it in to our main office--",Ses02M
Ses02F_impro05_M008,neu,"right. no. i mean they- they might--they might--if you-if you are argue the case more, maybe they'll reimburse you more, but, right now--",Ses02M
Ses02F_impro05_M009,neu,"yes, i know. i know-. it's it's frustrating. unfortunately though-- um",Ses02M
Ses02F_impro05_M010,neu,"by checking your bags, you--you, you know- admit to the liability that's- that's at risk--",Ses02M
Ses02F_impro05_M011,neu,"right, well, by checking in your bags, you agreed to, you know, at the will of the--",Ses02M
Ses02F_impro05_M012,neu,"you paid for the flight and then your bags were checked at--it's a service that the airline provides for us. so so, really, it's really the risk was taken and, i'm sorry, but there's really nothing else we can do. so do you want--do you want the reimbursement?",Ses02M
Ses02F_impro05_M013,neu,"well, there are-there are some shops here in- in the airport--",Ses02M
Ses02F_impro05_M014,neu,"no, um, like i said you can file a claim and, uh, maybe get reimbursed for more-- you",Ses02M
Ses02F_impro05_M015,neu,probably even talk to--,Ses02M
Ses02F_impro05_M016,neu,"right, that--that gets taken care of-- that gets taken care of. we get we do, you know, we investigate those and just make sure that um- they're not doing their own thing with them so--uh",Ses02M
Ses02F_impro05_M017,neu,but unfortunately sometimes is--,Ses02M
Ses02F_impro05_M018,neu,"well, that's--that's what i'm saying--",Ses02M
Ses02F_impro05_M019,neu,"okay. well that that could be something that you put on on the claim--on on the complaint form if you want. and provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over.",Ses02M
Ses02F_impro05_M020,neu,"all right, miss, i-i know. i realize this. but like i said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and i'm actually gonna have to ask you to move so i can help the next person.",Ses02M
Ses02F_impro05_M021,neu,"yes, all right. there you go, now you can file a claim over to the left--and they'll help you out.",Ses02M
Ses02F_impro06_F000,sad,"um, johnny died yesterday.",Ses02F
Ses02F_impro06_F001,sad,"we knew that it was coming, but--",Ses02F
Ses02F_impro06_F002,sad,"it seemed like he had a little bit longer. like just last week, he was doing was so well.",Ses02F
Ses02F_impro06_F003,sad,yeah.,Ses02F
Ses02F_impro06_F004,sad,i just don't want him to be gone.,Ses02F
Ses02F_impro06_F005,sad,and his whole family was there.,Ses02F
Ses02F_impro06_F006,sad,"i mean, he was like really conscious right up until the end. you know",Ses02F
Ses02F_impro06_F007,sad,"he was so young, you know. and all the stories he used to tell me about...",Ses02F
Ses02F_impro06_F008,sad,...the way he wanted to live and he was gonna go to africa and he was gonna--,Ses02F
Ses02F_impro06_F009,sad,nobody's ever gonna forget him.,Ses02F
Ses02F_impro06_F010,sad,he did a lot. but--,Ses02F
Ses02F_impro06_F011,sad,i'm gonna forget him.,Ses02F
Ses02F_impro06_F012,sad,i won't be able to hear his voice or his--,Ses02F
Ses02F_impro06_F013,sad,you start to lose like that image after a while.,Ses02F
Ses02F_impro06_F014,sad,thanks.,Ses02F
Ses02F_impro06_M000,neu,"hey, a what's up?",Ses02M
Ses02F_impro06_M001,neu,"wow, that's horrible.",Ses02M
Ses02F_impro06_M002,neu,i'm sorry to hear about that.,Ses02M
Ses02F_impro06_M003,neu,yeah.,Ses02M
Ses02F_impro06_M004,neu,"i mean, you know, at least he's not in anymore pain now, right?",Ses02M
Ses02F_impro06_M005,neu,"it's good, you know. you know it hurts i know. i know what it's like to lose someone like that.",Ses02M
Ses02F_impro06_M006,neu,it's okay.,Ses02M
Ses02F_impro06_M007,neu,"'cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on.",Ses02M
Ses02F_impro06_M008,neu,i mean--i don't know.,Ses02M
Ses02F_impro06_M009,neu,"well, that's that's good, you know. at least, i don't know. i mean it's- it's better to go- to goout that way than...",Ses02M
Ses02F_impro06_M010,neu,".than you know, in pain and like this gradual, this horrible process. i mean--",Ses02M
Ses02F_impro06_M011,neu,"but look at the--he--look at the life he did get to lead. i mean, for his age, he'd done so much and--",Ses02M
Ses02F_impro06_M012,neu,"yeah, exactly. he's made a big impact on a lot of people. and",Ses02M
Ses02F_impro06_M013,neu,"and you'll always have that and--you should feel, you know, happy for him that he got to do so much before--i mean, and even after he found out last year. i mean--",Ses02M
Ses02F_impro06_M014,neu,"i know. it doesn't bring him back, but--",Ses02M
Ses02F_impro06_M015,neu,"but it's okay because now, you know, you'll just go on with your life and--",Ses02M
Ses02F_impro06_M016,neu,"no, you'll never forget him.",Ses02M
Ses02F_impro06_M017,neu,i know. but you're not i mean you're not going to forget him. the pain will go away eventually and--or it will subside--,Ses02M
Ses02F_impro06_M018,neu,"that will be, it'll be--it'll be better that way. i mean time will tell. time heals, you know, and it's good. it's okay. i mean, it wasn't anybody's fault or anything like that so .",Ses02M
Ses02F_impro06_M019,neu,"it's hard to lose someone that way, but he's he's better--he's better off now.",Ses02M
Ses02F_impro07_F001,hap,i got into u.s.c.,Ses02F
Ses02F_impro07_F002,hap,"yeah, i'm so excited. so i'm gonna say--",Ses02F
Ses02F_impro07_F003,hap,"yeah, i think, i mean because where else would i gonna go? like the other places that i applied to i really didn't like that much anyway.",Ses02F
Ses02F_impro07_F004,hap,so--,Ses02F
Ses02F_impro07_F005,hap,"yeah, i know.",Ses02F
Ses02F_impro07_F006,hap,absolutely. i'm so excited.,Ses02F
Ses02F_impro07_F007,hap,"i know. i know. and we'll all get to hang out. and i'm--even though we'll be at like at different parts of the city, we can still, like...",Ses02F
Ses02F_impro07_F008,hap,"...hang out and, like, have our different lives--and meet each other's friends and stuff. so, i'm just so glad 'cause they have such a good school",Ses02F
Ses02F_impro07_F009,hap,"and like-- the football team--and like all the-...you- what i mean, like...",Ses02F
Ses02F_impro07_F010,hap,"you can walk somewhere and be anywhere in the country and be like, oh, yeah, i am at u.s.c.",Ses02F
Ses02F_impro07_F011,hap,"and you know what, you know what i mean, like it's recognizable rather than just being like i went some random school. it's like people really know what you...",Ses02F
Ses02F_impro07_F012,hap,"...like, they feel like--i feel like it's going to be so like accomplished. do you know what i mean?",Ses02F
Ses02F_impro07_F013,hap,like it has some prestige. so,Ses02F
Ses02F_impro07_F014,hap,"yeah, i mean there's all the money stuff and my mom's helping me with the financial aid and stuff. but, it'll be fine--",Ses02F
Ses02F_impro07_F015,hap,"like, now that i'm accepted, it's just, like, such a huge load off my mind.",Ses02F
Ses02F_impro07_F016,hap,i don't mind worrying about all the paperwork. you know--,Ses02F
Ses02F_impro07_F017,hap,"because, i don't have to like make that decision anymore. i don't have to try and decide, like, what the bad school i'm going to go to is. you know",Ses02F
Ses02F_impro07_F018,hap,"i know. i know. i think you go and you like stay for a couple of days and you meet people and--and they'll give you like a tour--and show you everything. oh, man, i'm just so--i'm so excited.",Ses02F
Ses02F_impro07_F019,hap,"yeah, oh totally. it's a beautiful campus. it's gonna be really nice. um, and everyone is friendly and like there's ivy on all the walls. oh, it's just so--it's so like collegiate.",Ses02F
Ses02F_impro07_F020,hap,"you know what i mean? like, it's like exactly what i want.",Ses02F
Ses02F_impro07_F021,hap,"well, you know, i've thought about it but they have so many things that i might--like try some things out first...",Ses02F
Ses02F_impro07_F022,hap,"...because also on the list of their, um, like g.e.'s or whatever, you have a lot of choices within every single one. so you can, like, try things out and not just be like, oh, i have to take math, oh, i have to take this. you know what i mean?",Ses02F
Ses02F_impro07_F023,hap,"so, um, so i don't know.",Ses02F
Ses02F_impro07_F024,hap,i mean i'm gonna take a bunch of stuff and see.,Ses02F
Ses02F_impro07_F025,hap,"i- they have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what i mean.",Ses02F
Ses02F_impro07_F026,hap,"i know, i get to be one of those now--i'll like walk around and be like a u.s.c.. you know what i mean.",Ses02F
Ses02F_impro07_F027,hap,and you'll be like...,Ses02F
Ses02F_impro07_F028,hap,"student. i'm a student. yes i am, thank you very much.",Ses02F
Ses02F_impro07_F029,hap,[breathing],Ses02F
Ses02F_impro07_F030,hap,i know. i'm excited.,Ses02F
Ses02F_impro07_F031,hap,"well, that'll take a while. [garbage]",Ses02F
Ses02F_impro07_F032,hap,that's going to be a lot of work.,Ses02F
Ses02F_impro07_F033,hap,"but, it'll be fine, i mean. i'm so excited. it's going to be so fun.",Ses02F
Ses02F_impro07_F034,hap,"i know, and i mean the area's not great, but like the school makes up for it. it'll be fine. it'll be good.",Ses02F
Ses02F_impro07_F035,hap,i know. i know. so fun. i can't wait.,Ses02F
Ses02F_impro07_F036,hap,i will. i will. thank you.,Ses02F
Ses02F_impro07_F037,hap,thanks.,Ses02F
Ses02F_impro07_M000,neu,"so, how's it going?",Ses02M
Ses02F_impro07_M001,hap,"oh, you got what? where?",Ses02M
Ses02F_impro07_M002,hap,"oh, no way.",Ses02M
Ses02F_impro07_M003,hap,are you gonna go? you gonna-,Ses02M
Ses02F_impro07_M004,hap,"wow, that's...",Ses02M
Ses02F_impro07_M005,hap,"...that's first choice, huh? that's so awesome and now look you're gonna be--you're gonna be here. you know",Ses02M
Ses02F_impro07_M006,hap,"yeah, no, definitely--it's gonna..",Ses02M
Ses02F_impro07_M007,hap,yeah.,Ses02M
Ses02F_impro07_M008,hap,yeah,Ses02M
Ses02F_impro07_M009,hap,fight on.,Ses02M
Ses02F_impro07_M010,hap,[laughter],Ses02M
Ses02F_impro07_M011,hap,wow. that's cool.,Ses02M
Ses02F_impro07_M016,neu,so...,Ses02M
Ses02F_impro07_M017,hap,"right. right. right. oh, man, then you're going to have to do orientation, i guess.",Ses02M
Ses02F_impro07_M018,hap,that'll be awesome.,Ses02M
Ses02F_impro07_M019,hap,"i mean because you went to the campus before, right?",Ses02M
Ses02F_impro07_M023,hap,oh man.,Ses02M
Ses02F_impro07_M027,hap,ahh. yeah. [garbage],Ses02M
Ses02F_impro07_M028,hap,"you'll be like are you a fan or a student you know? student. [laughter] oh man, that's awesome.",Ses02M
Ses02F_impro07_M029,hap,a u.s.c. graduate now. you're set.,Ses02M
Ses02F_impro07_M034,hap,you're getting close to the beach. i mean geez.,Ses02M
Ses02F_impro08_F000,neu,"hi, my name is shiloh, welcome to--airline six. hi, how may i help you?",Ses02F
Ses02F_impro08_F001,neu,"all right, sir.",Ses02F
Ses02F_impro08_F002,neu,i completely understand. automated systems are very difficult sometimes.,Ses02F
Ses02F_impro08_F003,neu,"um, how may i help you. you're trying to book a specific flight?",Ses02F
Ses02F_impro08_F004,neu,"oh, yeah, absolutely. you know, and especially because you've been waiting so long and i know that, um, you've been having a difficult time.",Ses02F
Ses02F_impro08_F005,neu,"i want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,",Ses02F
Ses02F_impro08_F006,neu,"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh, just to make sure that you're happy with your service here.",Ses02F
Ses02F_impro08_F007,neu,is that all right?,Ses02F
Ses02F_impro08_F008,neu,"i can do that right now for you. no, absolutely. i can take care of you all the way through to the end.",Ses02F
Ses02F_impro08_F009,neu,all i'm going to need is your credit card number but just give me one moment. so-,Ses02F
Ses02F_impro08_F010,neu,"um, you're scheduling a flight as well--and you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal. you're taken care of by the time that you get there.",Ses02F
Ses02F_impro08_F011,neu,absolutely. we we,Ses02F
Ses02F_impro08_F012,neu,"yes, i completely understand. actually, our-our airline only uses five star hotel and above. except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves.",Ses02F
Ses02F_impro08_F013,neu,"so, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",Ses02F
Ses02F_impro08_F014,neu,yeah.,Ses02F
Ses02F_impro08_F015,neu,okay.,Ses02F
Ses02F_impro08_F016,neu,great. how many seats?,Ses02F
Ses02F_impro08_F017,neu,okay. great. four seats. i'll book you for four seats.,Ses02F
Ses02F_impro08_F018,neu,"oh, yeah, absolutely. um- would you like window seats or aisles?",Ses02F
Ses02F_impro08_F019,neu,"okay, i can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. and switch around maybe?",Ses02F
Ses02F_impro08_F020,neu,okay. great. what time of the day would you like?,Ses02F
Ses02F_impro08_F021,neu,all right. great. well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,Ses02F
Ses02F_impro08_F022,neu,"so, it's a five hour flight, but you'll arrive only at eleven a clock in the morning. so that day, you can have plenty of time to get to your hotel--rest up and then still have a nice afternoon your first afternoon in maui.",Ses02F
Ses02F_impro08_F023,neu,absolutely. that actually goes in on the same package with our hotel. you just give me your address. we'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,Ses02F
